player_name,year,p_GP,p_W,p_SO,p_GAA,p_SV%
Jonathan Quick,2017,62.109,31.199,4.663,2.361,0.913
Braden Holtby,2017,59.697,33.521,4.542,2.344,0.914
Marc-Andre Fleury,2017,58.656,30.328,4.354,2.389,0.913
Pekka Rinne,2017,58.053,30.868,4.073,2.460,0.912
Cory Schneider,2017,57.048,24.967,3.824,2.353,0.914
Ben Bishop,2017,57.048,30.174,4.246,2.346,0.913
Devan Dubnyk,2017,56.890,27.330,3.419,2.537,0.915
Cam Ward,2017,56.720,23.865,3.004,2.576,0.907
Martin Jones,2017,56.686,28.420,4.471,2.408,0.913
Tuukka Rask,2017,56.393,24.745,4.190,2.424,0.915
Semyon Varlamov,2017,56.301,24.468,3.383,2.632,0.915
Henrik Lundqvist,2017,56.242,29.904,3.946,2.460,0.912
Steve Mason,2017,56.014,22.930,3.431,2.512,0.915
Corey Crawford,2017,55.906,29.570,3.669,2.415,0.912
Petr Mrazek,2017,55.551,26.857,3.779,2.534,0.913
Roberto Luongo,2017,55.108,27.547,3.710,2.461,0.913
Mike Condon,2017,54.537,21.467,2.943,2.483,0.909
Ryan Miller,2017,51.050,21.022,2.339,2.594,0.910
Cam Talbot,2017,50.536,21.575,3.500,2.453,0.914
Craig Anderson,2017,50.236,22.972,2.973,2.726,0.910
Jake Allen,2017,48.043,23.797,3.867,2.442,0.913
Antti Niemi,2017,47.639,22.461,3.577,2.427,0.910
Chad Johnson,2017,45.745,19.953,2.422,2.454,0.911
John Gibson,2017,45.651,21.999,2.836,2.495,0.913
Louis Domingue,2017,44.929,17.685,2.497,2.654,0.913
Frederik Andersen,2017,44.028,21.217,2.460,2.503,0.912
Kari Lehtonen,2017,43.588,19.977,2.619,2.689,0.912
Brian Elliott,2017,43.281,20.867,3.162,2.456,0.914
Carey Price,2017,42.357,21.425,2.164,2.318,0.917
Ondrej Pavelec,2017,42.353,16.542,2.316,2.585,0.908
Jaroslav Halak,2017,42.201,20.176,3.054,2.566,0.909
Joonas Korpisalo,2017,42.196,19.277,2.053,2.567,0.913
Jimmy Howard,2017,42.187,17.578,2.228,2.600,0.912
James Reimer,2017,41.512,16.521,2.160,2.620,0.912
Jonathan Bernier,2017,41.341,16.768,2.047,2.672,0.912
Connor Hellebuyck,2017,39.860,17.625,2.522,2.450,0.913
Thomas Greiss,2017,39.858,18.118,2.198,2.565,0.906
Sergei Bobrovsky,2017,39.694,17.193,2.140,2.668,0.913
Jacob Markstrom,2017,38.626,14.915,1.910,2.589,0.905
Mike Smith,2017,38.268,15.460,1.960,2.739,0.908
Michael Hutchinson,2017,37.943,15.596,1.214,2.649,0.913
Antti Raanta,2017,37.334,15.630,2.020,2.434,0.911
Anders Nilsson,2017,37.149,14.623,1.209,2.793,0.908
Michal Neuvirth,2017,37.072,15.639,1.968,2.562,0.911
Scott Darling,2017,35.808,15.178,1.840,2.453,0.911
Eddie Lack,2017,35.177,13.847,1.910,2.649,0.913
Al Montoya,2017,34.945,14.352,1.554,2.616,0.908
Matt Murray,2017,34.778,16.604,1.557,2.337,0.918
Karri Ramo,2017,34.571,13.858,1.837,2.636,0.907
Andrei Vasilevskiy,2017,34.459,14.560,1.917,2.679,0.912
Jonas Hiller,2017,34.432,12.995,1.005,2.862,0.903
Garret Sparks,2017,34.212,12.454,1.228,2.924,0.910
Philipp Grubauer,2017,31.607,11.506,0.977,2.545,0.911
Jhonas Enroth,2017,31.334,11.588,1.051,2.649,0.911
Ben Scrivens,2017,31.041,11.161,0.907,2.715,0.906
Joni Ortio,2017,30.954,11.501,1.111,2.800,0.908
Carter Hutton,2017,30.789,11.781,1.033,2.747,0.907
Linus Ullmark,2017,30.704,11.083,0.949,2.781,0.910
Calvin Pickard,2017,29.956,10.905,1.042,2.617,0.911
Jeff Zatkoff,2017,29.556,12.440,0.896,2.908,0.912
Jonas Gustavsson,2017,29.471,12.202,1.535,2.674,0.904
Robin Lehner,2017,29.364,10.827,1.022,2.699,0.910
Keith Kinkaid,2017,29.188,10.536,1.015,2.790,0.909
Reto Berra,2017,29.079,10.456,1.145,2.764,0.905
Darcy Kuemper,2017,29.009,11.312,1.512,2.675,0.912
Andrew Hammond,2017,28.420,12.051,1.224,2.405,0.911
Alex Stalock,2017,28.238,10.537,0.856,2.644,0.906
Anders Lindback,2017,23.764,9.342,0.695,2.865,0.904
Curtis McElhinney,2017,20.975,6.988,0.613,2.864,0.900
